Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
14/08/2008,3.1139,3.1139,3.07,3.0991,-0.0326,,47,2309,,,
13/08/2008,3.0905,3.1695,3.087,3.1317,0.0536,,167,2276,,,
12/08/2008,3.0959,3.1797,3.0959,3.0781,-0.0414,,50,2261,,,
11/08/2008,3.159,3.1761,3.096,3.1195,-0.0085,,327,2181,,,150
08/08/2008,3.21,3.21,3.1288,3.128,-0.1056,,144,2206,,,
07/08/2008,3.2259,3.2371,3.2011,3.2336,-0.0043,,195,2102,,,
06/08/2008,3.2751,3.2989,3.2625,3.2379,-0.0441,,97,2067,,,
05/08/2008,3.3241,3.34,3.286,3.282,-0.0681,,184,2010,,,
04/08/2008,3.4297,3.4435,3.324,3.3501,-0.0867,,122,2041,,,150
01/08/2008,3.4456,3.5306,3.4387,3.4368,-0.0225,,455,2048,,,100
31/07/2008,3.535,3.535,3.4412,3.4593,-0.0865,,197,1936,,,
30/07/2008,3.473,3.473,3.473,3.5203,0.0481,,2,1723,,,
29/07/2008,3.5033,3.5033,3.4492,3.4722,-0.0898,,114,1679,,,
28/07/2008,3.5645,3.5735,3.5387,3.562,0.0391,,30,1656,,,
25/07/2008,3.5907,3.5951,3.5073,3.5229,-0.0442,,63,1604,,,
24/07/2008,3.5825,3.5987,3.557,3.5671,0.017,,15,1603,,,
23/07/2008,3.6294,3.6506,3.5434,3.5501,-0.1281,,33,1582,,,
22/07/2008,3.7306,3.7306,3.6511,3.6782,-0.0697,,37,1574,,,
21/07/2008,3.7112,3.7341,3.7039,3.7479,0.0564,,77,1527,,,
18/07/2008,3.7404,3.7853,3.6934,3.6915,-0.0523,,71,1517,,,
17/07/2008,3.8585,3.8945,3.7408,3.7438,-0.0972,,212,1476,,,
16/07/2008,3.9045,3.9045,3.7949,3.841,-0.078,,169,1334,,,
15/07/2008,4.0624,4.0665,3.8417,3.919,-0.1459,,236,1198,,,
14/07/2008,4.0465,4.1078,4.0465,4.0649,-0.0117,,36,1192,0,0,0
11/07/2008,4.134,4.145,4.0746,4.0766,0.0392,,67,1187,0,0,0
10/07/2008,3.9484,4.0383,3.9412,4.0374,0.1858,,135,1165,0,0,0
09/07/2008,3.9008,3.9008,3.8349,3.8516,0.0314,,97,1100,0,0,0
08/07/2008,3.9315,3.9315,3.8093,3.8202,-0.1494,,372,1297,0,0,0
07/07/2008,4,4.027,3.9462,3.9696,-0.0799,,183,1197,0,0,0
04/07/2008,4.0661,4.0661,4.0524,4.0495,-0.0565,,2,1308,0,0,0
03/07/2008,4.1075,4.1075,4.0833,4.106,0.0345,,224,1158,0,0,100
02/07/2008,3.9335,4.0835,3.933,4.0715,0.128,,576,1189,0,0,0
01/07/2008,3.987,3.99,3.9305,3.9435,0.0335,,390,857,0,0,200
30/06/2008,4.0227,4.0227,3.9048,3.91,-0.0231,,99,837,0,0,0
27/06/2008,3.8846,3.9293,3.828,3.9066,0.0232,,145,828,0,0,0
26/06/2008,3.8175,3.9371,3.8175,3.8834,0.1342,,225,781,0,0,0
25/06/2008,3.818,3.818,3.694,3.7492,-0.0644,,306,716,0,0,0
24/06/2008,3.8488,3.8488,3.7976,3.8136,0.0172,,186,890,0,0,100
23/06/2008,3.8163,3.8547,3.7725,3.7964,0.0247,,374,826,0,0,0
20/06/2008,3.7962,3.8406,3.7962,3.7717,0.0582,,120,765,0,0,0
19/06/2008,3.862,3.8801,3.7141,3.7135,-0.1465,,194,802,0,0,0
18/06/2008,3.8109,3.8277,3.7347,3.86,0.0378,,181,873,0,0,100
17/06/2008,3.8122,3.8205,3.7584,3.8222,-0.0052,,160,908,0,0,0
16/06/2008,3.8509,3.9625,3.819,3.8274,-0.0094,,208,858,0,0,50
13/06/2008,3.936,3.94,3.8383,3.8368,-0.1059,,129,905,0,0,0
12/06/2008,3.919,3.9789,3.8602,3.9427,-0.0321,,217,831,0,0,0
11/06/2008,3.8661,4.0096,3.8661,3.9748,0.1624,,322,758,0,0,100
10/06/2008,3.9684,3.9684,3.8174,3.8124,-0.0646,,163,747,0,0,0
09/06/2008,3.9635,3.99,3.876,3.877,-0.097,,140,784,0,0,0
06/06/2008,3.6936,3.9879,3.69,3.974,0.2932,,501,780,0,0,0
05/06/2008,3.5457,3.685,3.5457,3.6808,0.135,,189,664,0,0,0
04/06/2008,3.6396,3.6396,3.5438,3.5458,-0.0938,,361,807,0,0,0
03/06/2008,3.72,3.7366,3.638,3.6396,-0.0824,,264,616,0,0,0
02/06/2008,3.657,3.7527,3.6453,3.722,0.0553,,484,924,0,0,0
30/05/2008,3.6572,3.7225,3.6572,3.6667,-0.0393,,164,969,0,0,0
29/05/2008,3.8133,3.8133,3.7038,3.6885,-0.1358,,52,1461,0,0,0
